Store GPS,Zone
"-25.9220406,28.0213533",
"-25.93478,28.0152217",
"-25.9372967,28.0028333",
"-25.9420117,28.01234",
"-25.9362635,28.0133023",
"-25.9372183,28.003045",
"-25.92722,28.0066517",
"-25.9335167,28.0200183",
"-25.939315,28.0100833",
"-25.94211,28.0177967",
"-25.9305563,28.0195236",
"-25.9254635,28.0001271",
"-25.9410567,28.0054933",
"-25.9412603,28.0056169",
"-25.9318383,28.00426",
"-25.9224557,28.0176178",
"-25.9305563,28.0195236",
"-25.943695,28.01142",
"-25.9351051,28.0107405",
"-25.9416246,28.0186161",
"-25.9395617,28.0099967",
"-25.933147,28.013354",
"-25.934915,28.0165683",
"-25.93505,28.01738",
"-25.9342133,27.998525",
"-25.9422005,28.0123388",
"-25.9412183,28.0187283",
"-25.94587,28.012065",
"-25.9305583,27.9982433",
"-25.9202967,28.017355",
"-25.932055,28.00113",
"-25.920645,28.01635",
"-25.9190459,28.01623",
"-26.207149,27.8686881",
"-26.20391,27.8628917",
"-26.2120085,27.8584326",
"-26.2142784,27.8653918",
"-26.1955874,27.8591652",
"-26.2044262,27.8632847",
"-26.1989641,27.8624616",
"-26.2090517,27.8638817",
"-26.2055817,27.8551361",
"-26.208985,27.8645267",
"-26.211115,27.860045",
"-26.2021283,27.8582233",
"-26.203285,27.8692633",
"-26.2090797,27.8562349",
"-26.212615,27.8590633",
"-26.20218,27.8534283",
"-26.1892117,27.84677",
"-26.212363,27.87727",
"-26.1972983,27.8016533",
"-26.230565,27.8525333",
"-26.23323,27.8331576",
"-26.228301,27.8518395",
"-26.1971,27.8494083",
"-26.2393273,27.9155632",
"-26.2378964,27.9239848 ",
"-26.2009082,27.8661243",
"-26.2255767,27.8429083",
"-26.2261909,27.8522058",
"-26.2098567,27.883115",
"-26.191865,27.84448",
"-26.2096467,27.8819733",
"-26.2108833,27.9007667",
"-26.2186183,27.8968733",
"-26.2264167,27.84885",
"-26.2180885,27.8730832",
"-26.1998933,27.8554367",
"-26.2079383,27.889745",
"-26.2124167,27.9039767",
"-26.2149633,27.9047033",
"-26.215695,27.9059133",
"-26.2176783,27.9163883",
"-26.184385,27.8057367",
"-26.2343517,27.8397017",
"-26.22228,27.8166683",
"-26.220855,27.8363767",
"-26.2190744,27.8214346",
"-26.227078,27.805991",
"-26.217349,27.818708",
"-26.2241117,27.81495",
"-26.2223533,27.8155567",
"-26.19586,27.854435",
"-26.196585,27.8547383",
"-26.2274667,27.8594033",
"-26.21953,27.8577183",
"-26.2197633,27.8576183",
"-26.2203767,27.8353567",
"-26.2242367,27.8268833",
"-26.217595,27.8253183",
"-26.2147317,27.8920033",
"-26.2197829,27.8730832",
"-26.2267383,27.8619317",
"-26.2100933,27.8803133",
"-26.1937333,27.82126",
"-26.219565,27.8579733",
"-26.223355,27.8634767",
"-26.2232901,27.8634231",
"-26.22361,27.8634867",
"-26.2227883,27.8703",
"-26.2264333,27.8695383",
"-25.9432083,28.0116067",
"-26.2221767,27.871285",
"-25.9406133,28.0144217",
"-26.2358067,27.9518283",
"-26.2208017,27.87045",
"-26.22287,27.87051",
"-26.2367483,27.95449",
"-26.2165367,27.8328933",
"-26.1981717,27.8564633",
"-26.248785,27.94911",
"-26.2489998,27.9523132",
"-26.2473603,27.9594975",
"-26.2243317,27.8915167",
"-26.229555,27.8938767",
"-26.2211183,27.8886533",
"-26.2284517,27.8943083",
"-26.2168433,27.914155",
"-26.2139067,27.9024583",
"-26.2095383,27.8997267",
"-26.249135,27.8672633",
"-26.2187483,27.8871733",
"-26.245275,27.93796",
"-26.217125,27.8867317",
"-26.2214183,27.8216117",
"-26.24343,27.9316367",
"-26.2203733,27.822245",
"-26.2304601,27.9287446",
"-26.22,27.87259",
"-26.234543,27.957657",
"-26.2132383,27.88596",
"-25.935169,28.000345",
"-26.2087167,27.8581533",
"-26.202635,27.8602133",
"-26.2451033,27.9622067",
"-26.2322867,27.8801433",
"-26.2256483,27.8598217",
"-26.2361717,27.9482783",
"-26.2181617,27.8700383",
"-26.2176533,27.8837783",
"-26.2221767,27.87212",
"-26.241992,27.9254493",
"-26.218265,27.881749",
"-26.2203467,27.8833517",
"-26.2267783,27.8988617",
"-26.2165633,27.8717867",
"-26.209705,27.8919217",
"-26.246115,27.9311567",
"-26.2400367,27.9594417",
"-26.231983,27.928947",
"-26.24917,27.8314683",
"-26.239179,27.953629",
"-26.2363683,27.9449233",
"-26.2368617,27.9440417",
"-26.2496437,27.8727314",
"-26.2026717,27.8660383",
"-26.2454667,27.8785917",
"-26.2248733,27.8623483",
"-26.2467904,27.9605957",
"-26.2106367,27.864285",
"-26.2139507,27.8815067",
"-26.2387517,27.958425",
"-26.2492067,27.950545",
"-26.2479,27.950645",
"-26.2504731,27.9463183",
"-26.2292317,27.822205",
"-26.2210165,27.8752807",
"-26.2190467,27.832535",
"-26.2231217,27.8529867",
"-26.248735,27.9524583",
"-26.2592583,27.8628967",
"-26.2216757,27.8705194",
"-26.2380577,27.860264",
"-26.2162733,27.918505",
"-26.2362383,27.812865",
"-26.273735,27.8176533",
"-26.2207,27.9103183",
"-26.1930367,27.82499",
"-26.2362667,27.8125817",
"-26.22017,27.8391867",
"-26.22126,27.8380583",
"-26.2230483,27.8096067",
"-26.2179217,27.8240233",
"-26.2076233,27.8942",
"-26.2224115,27.8653918",
"-26.2241133,27.80654",
"-26.2110367,27.887915",
"-26.206505,27.8859817",
"-26.209305,27.8867483",
"-26.2069517,27.8834483",
"-26.2302083,27.8513",
"-26.2130617,27.8985867",
"-26.2265877,27.8163056",
"-26.212895,27.8966017",
"-26.2238633,27.8233967",
"-26.2130156,27.8891975",
"-26.2569093,27.9382639",
"-26.2517283,27.9417883",
"-26.226955,27.874405",
"-26.2178,27.8850683",
"-26.2164817,27.8858383",
"-26.2431217,27.9413683",
"-26.22044,27.9067133",
"-26.2401633,27.9009933",
"-26.2170983,27.886685",
"-26.2498888,27.9426573",
"-26.2491117,27.915715",
"-26.2584009,27.9105087",
"-26.2180883,27.8923017",
"-26.2022267,27.8621283",
"-26.2288317,27.872485",
"-26.2486882,27.9097045",
"-26.219865,27.8915367",
"-26.2480799,27.9152366",
"-26.0153957,28.1877805",
"-26.017405,28.1933617",
"-26.0160083,28.19429",
"-25.9972683,28.1840367",
"-26.000715,28.1825517",
"-25.933562,28.0213533",
"-26.01634,28.196385",
"-25.9990362,28.2411498",
"-25.9971982,28.1874149",
"-26.02663,28.2219117",
"-26.013335,28.2270617",
"-26.013785,28.175315",
"-26.0392933,28.1627333",
"-25.9976933,28.175515",
"-26.23689,27.9440517",
"-26.22053,27.85962",
"-26.014375,28.182215",
"-26.0085467,28.192585",
"-26.0082231,28.1928989",
"-25.9914867,28.2077483",
"-26.0079217,28.2020667",
"-26.0163267,28.196895",
"-26.0201967,28.21401",
"-26.0182434,28.2159294",
"-26.007275,28.1869",
"-26.0024997,28.1943612",
"-26.0000917,28.2009417",
"-25.9182033,28.0198333",
"-26.04793,28.1853767",
"-26.0034455,28.240139",
"-26.0173383,28.1903017",
"-26.005997,28.229077",
"-25.9988017,28.2266133",
"-26.0057883,28.2147767",
"-25.9875083,28.1865317",
"-25.98649,28.2387633",
"-26.0067183,28.185765",
"-26.0056407,28.1907053",
"-26.032571,28.18387",
"-25.999447,28.18237",
"-26.0118276,28.1870493",
"-25.9989367,28.2397867",
"-25.9270633,28.0083933",
"-26.0092583,28.2211633",
"-26.03889,28.1768467",
"-26.0229867,28.2005167",
"-26.0225083,28.2152867",
"-26.010686,28.214828",
"-26.2251283,27.8686533",
"-26.263765,27.8644783",
"-26.0104083,28.1777783",
"-25.9741317,28.2009",
"-26.2771533,27.861235",
"-26.2148567,27.89077",
"-26.2151517,27.9080983",
"-26.014783,28.205319",
"-26.2072133,27.859875",
"-26.0026,28.2021633",
"-26.248735,27.8240917",
"-25.9974333,28.2031483",
"-26.0117717,28.2440333",
"-25.99324,28.1999917",
"-25.93182,27.999685",
"-26.0161433,28.20651",
"-26.0301199,28.1837589",
"-25.9962933,28.1919067",
"-26.2404233,27.8104083",
"-26.030711,28.165962",
"-26.003825,28.1925017",
"-26.0381455,28.1560176",
"-26.047615,28.1820467",
"-26.2197583,27.814565",
"-26.2206817,27.8933633",
"-26.225285,27.8919117",
"-25.9962535,28.1742528",
"-26.038685,28.1779517",
"-26.0407817,28.1766017",
