Account,Acc Name,Del Name,Delivery Add1,Delivery Add2,Delivery Add3,Postal Code
TA10019043,MVULA TECHNOLOGIES CC T/A MVULA COMPUTER NETWORKS,MVULA TECHNOLOGIES CC T/A MVULA COMPUTER NETWORKS,777 PIERNEEF STREET,VILLERIA,JHB,'0031
TA10019044,INAMANDLA INFORMATION TECHNOLOGY CC,INAMANDLA INFORMATION TECHNOLOGY CC,14 Pigeon Avenue,Ext 1,Lenasia,'1820
TA10019046,SHOSHO INDUSTRIAL SUPPLIES CC,SHOSHO INDUSTRIAL SUPPLIES CC,1 CLANWILLIAM CRESCENT,BRENTWOOD PARK,BENONI  JHB,'1500
TA10019050,SKYDYNE PROJECTS CC,SKYDYNE PROJECTS CC,1240 KROUKIE AVENUE,WELTEVREDENPARK,JHB,'1726
TA10019053,SA AUTOMATION SYSTEMS (PTY) LTD,SA AUTOMATION SYSTEMS (PTY) LTD,UNIT 45 GRAPHITE INDUSTRIAL PARK,CNR FABRIEK & COMMERCIAL STREETS,STRIJDOM PARK  RANDBURG  JHB,'2040
TA10019055,LESEGO JE PAPERS (PTY) LTD,LESEGO JE PAPERS (PTY) LTD,REDCHESTED CUCCOO,PROTEA GLEN EXT 2,JHB,'1818
TA10019059,G C C TECHNICAL SOLUTIONS (PTY) LTD,G C C TECHNICAL SOLUTIONS (PTY) LTD,NO 2 SNIPE STREET,HORIZON EXT 1,ROODEPOORT,'1734
TA10019060,INVENT DIGITAL ,INVENT DIGITAL ,UNIT D10  PROSPUR BUSINESS PARK,HUGHES EXT 14  OSCAR STREET,BOKSBURG JHB,'1465
TA10019063,MAGNIFYING SOLUTIONS CC,MAGNIFYING SOLUTIONS CC,103 FIFTH AVENUE ,NORTHMEAD BENONI ,JOHANNESBURG 1501,'1465
TA10019064,BLUEJEANS IT SOLUTIONS CC,BLUEJEANS IT SOLUTIONS CC,37 SHEILA STREET,DUNVEGAN,JHB,'2008
TA10019066,MULTIMEDIA INNOVATIONS (PTY) LTD,MULTIMEDIA INNOVATIONS (PTY) LTD,148 BARRY HERTZOG AVENUE,GREENSIDE,JHB,'2025
TA10019068,EZEVEE COMPUTER SOLUTIONS CC,EZEVEE COMPUTER SOLUTIONS CC,209 SOUTSPANBERG ROAD ,RIETONDALE,PRETORIA 0084,'0007
TA10019076,THE WORLD OF COMPUTER TECHNOLOGY (PTY) L,THE WORLD OF COMPUTER TECHNOLOGY (PTY) L,22 TAMERLANE  BERGRIVIER ROAD,TERENURE,GAUTENG,'1625
TA10019080,NORTH HOLDINGS T/A KYOCERA CORPORATE BUSINESS SOLUTIONS,NORTH HOLDINGS T/A KYOCERA CORPORATE BUSINESS SOLUTIONS,19 COMMERCE CRESCENT EAST,EASTGATE EXT 12,SANDTON  JHB,'2054
TA10019086,STORAGE TECHNOLOGY SERVICES (PTY) LTD,STORAGE TECHNOLOGY SERVICES (PTY) LTD,STORTECH HOUSE STORAGE MANOR,CNT RIVONIA ROAD & 3RD AVENUE,RIVONIA JHB,'2128
TA10019091,ENYUKA GROUP (PTY) LTD,ENYUKA GROUP (PTY) LTD,96 TURF CLUB STREET,TURFFONTEIN,JOHANNESBURG,'1447
TA10019094,CONSENSUS COMPUTING CC,CONSENSUS COMPUTING CC,90 HEFER STREET ,BLOCK D SHOP 4,RUSTENBURG,'0300
TA10019095,NATIONAL INTERNET TECHNOLOGIES (PTY) LT,NATIONAL INTERNET TECHNOLOGIES (PTY) LTD,LOMBARDY BUSINESS PARK 66 GRAHAM,ROAD SHERE 0084,PRETORIA EAST,'0050
TA10019106,VALUE ADDED SOLUTION TECHNOLOGY (PTY) LT,VALUE ADDED SOLUTION TECHNOLOGY (PTY) LT,74 GEORGE AVENUE,GREENLEAF CENTRE  SANDRINGHAM,JHB,'2000
TA10019111,MANAGED INFORMATION TECHNOLOGY SERV (PTY,MANAGED INFORMATION TECHNOLOGY SERV (PTY,22 DIBBERK AVENUE,BASSONIA ,JHB,'2061
TA10019114,ANTHONY HART T/A  CORPORATE NETWORK SOLUTIONS,ANTHONY HART T/A CORPORATE NETWORK SOLUTIONS,81 KOOT STREET,WITHOK ESTATE,BRAKPAN,'1590
TA10019119,SISTEMAS INFORMATICO LIMITADA,EXI-ENGENHARIA E COMERIALIZACAO DO ,AV MARTIRES DA MACHAVA 1050,MAPUTO ,MOZAMBIQUE,'2000
TA10019120,ITEC SA (PTY) LTD ,ITEC SA HOUSE,CAMBRIDGE COMMERCIAL PARK,REGENT STREET  PAULSHOF,2191,'2144
TA10019125,BLUE SANDS TRADING 596 CC,BLUE SANDS TRADING 596 CC,709 GREAT DANE STREET,GARSFONTEIN X10,JHB,'0043
TA10019126,COMPUTER IMAGING SUPPLIES (PTY) LTD - CIS,COMPUTER IMAGING SUPPLIES (PTY) LTD - CIS,1149 EITEMAL AVENUE,FLORIDA EXT 11,ROODEPOORT,'1710
TA10019131,INTER-PRO GENIUS COMPUTERS CC,INTER-PRO GENIUS COMPUTERS CC,64 DANE ROAD,GLEN AUSTIN,MIDRAND  JHB,'1685
TA10019139,INCREDIBLE CONNECTION FOURWAYS,INCREDIBLE CONNECTION  FOURWAYS,FOURWAYS CROSSING RETAIL CENTRE SHOP G6B,WILLIAM NICHOLE DRIVE,FOURWAYS,'2128
TA10019142,DIGITAL PLANET (RETAIL),TARSUS DIGITAL PLANET WAREHOUSE,1 RUACANA STREET WATERFALL COMMERCIAL ,DIGITAL PLANET CAGE,BUCCLEUCH EXT 9,'2146
TA10019143,PARADIGM TECHNOLOGIES (PTY) LTD,PARADIGM TECHNOLOGIES (PTY) LTD,PLOT 1231 HAILE SELASSIE ROAD,OLD INDUSTRIAL SITES GABORONE,BOTSWANA,'2000
TA10019148,HATTINGH TECHNOLOGIES CC,HATTINGH TECHNOLOGIES CC,16 GEDULD AVENUE,BEVERLEY GARDENS,RANDBURG 2194,'2191
TA10019149,CENTURY OFFICE SUPPLIES (PTY) LTD,CENTURY OFFICE SUPPLIES (PTY) LTD,PLOT 5679  KUBU ROAD,BROADHURST INDUSTRIAL,GABORONE,'2000
TA10019153,XN CORPORATION AFRICA (PTY) LTD,XN CORPORATION AFRICA (PTY) LTD,X N HOUSE 552 COACH LANE,SUN VALLEY ,KYALAMI ,'2055
TA10019167,MAGONG A KOPANE TRADING CC,MAGONG A KOPANE TRADING CC,NO 14 FAIRVIEW,496 8TH ROAD NOORDWYK,MIDRAND,'1686
TA10019172,KHEPERA STUDIO CC,KHEPERA STUDIO CC,40 OSPREY STREET,KENZINGTON,JHB,'2094
TA10019173,BIGEN AFRICA IT SERVICES (PTY) LTD,BIGEN AFRICA IT SERVICES (PTY) LTD,ALLAN CORMACK STREET,THE INNOVATION HUB,PRETORIA,'0087
TA10019177,SOLID LOGISTICS (PTY) LTD,IT 4 AFRICA BOTSWANA ,Plot No 14400,Gaborone West Industrial Gaborone,BOTSWANA,'2000
TA10019182,FIRST CONSULTING ALLIANCE (PTY) LTD,FIRST CONSULTING ALLIANCE (PTY) LTD,35 LINKSFIELD ROAD,DOWERGLEN,EDENVALE JHB,'1610
TA10019190,LAYER 7 NETWORKING CC,LAYER 7 NETWORKING CC,12 ROSSLYN CLOSE,ISANDOVALE,EDENVALE  JHB,'1610
TA10019192,INFORMATICS AFRICA (PTY) LTD T/A P C SYSTEMS,INFORMATICS AFRICA (PTY) LTD T/A P C SYSTEMS,GROUND FLOOR  SUPPLY CENTRE,BUILDING INDUSTRIAL SITE,MBABANE SWAZILAND,'2000
TA10019202,AUDIO VISUAL CENTRE (PTY) LTD,AUDIO VISUAL CENTRE (PTY) LTD,UNIT 3 NORTHLANDS DECO PARK,29 NEWMARKET ROAD,NORTHRIDING,'2125
TA10019205,FRONTOSA TECHNOLOGIES (PTY) LTD,FRONTOSA TECHNOLOGIES (PTY) LTD,64 KYALAMI BOULEVARD,KYALAMI BUSINESS PARK ,KYALAMI - JOHANNESBURG,'1684
TA10019216,HEXNUT SYSTEMS (PVT) LTD,HEXNUT SYSTEMS (PVT) LTD,9 DROITWICH AVENUE,NORTHWOOD,313,'8435
TA10019217,INTERFACE (PTY) LTD,INTERFACE (PTY) LTD,PLOT 53/71,UNIT 11  COMMERCE PARK,GABORONE  BOTSWANA,'2000
TA10019219,BUSCITECH INVESTMENTS (PTY) LTD,BUSCITECH INVESTMENTS (PTY) LTD,SHOP U31  BHUNU MALL,NGWANE STREET,MANZINI  SWAZILAND,'2000
TA10019224,MOBILIA IMAGING & I.T.,MOBILIA IMAGING & I.T.,87 15TH AVENUE,CNR 7TH STREET,EDENVALE,'2052
TA10019251,METRO HOME CENTRE CITY PRETORIA,METRO HOME CENTRE CITY PRETORIA,410 VERMEULEN STREET,,PRETORIA,'0001
TA10019255,MARTIN GUNTHER T/A VISICA,MARTIN GUNTHER T/A VISICA,918 MORKELS CLOSE,MIDRAND,JHB,'2115
TA10019265,PHASE 1 COMPUTER SERVICES CC,PHASE 1 COMPUTER SERVICES CC,UNIT 1 STANFORD OFFICE PARK,16TH ROAD RANDJIESPARK,313,'1685
TA10019268,INCREDIBLE CONNECTION RUSTENBURG COMMERCIAL ACC,INCREDIBLE CONNECTION RUSTENBURG COMMERCIAL ACC,SHOP 205 WATERFALL MALL,AUGRABIES AVENUE,RUSTENBURG,'2128
TA10019269,RELIANCE TECHNOLOGY LIMITED,RELIANCE TECHNOLOGY LIMITED,PLOT 35374 THABO MBEKI ROAD,LUSAKA,ZAMBIA,'2000
TA10019272,PUREIOT CC,PUREIOT CC,40 ANGUS CRESCENT,LONGMEADOW EAST,MODDERFONTEIN,'2192
TA10019276,TECH SYSTEMS (PVT) LIMITED,TECH SYSTEMS (PVT) LIMITED,1ST FLOOR TECHNOLOGY CENTRE 106 FIFE AVE,HARARE,ZIMBABWE,'2000
TA10019277,AIT DISTRIBUTION (PVT) LTD,AIT DISTRIBUTION (PVT) LTD,163 ROBERT MUGABE ROAD,HARARE ,ZIMBABWE,'2000
TA10019280,IT SUPPORT WAREHOUSE CC,IT SUPPORT WAREHOUSE CC,244 SEFAKO MAKGATO DRIVE,SINOVILLE,PRETORIA 0182,'0030
TA10019282,SIMCONNECT (PTY) LTD,SIMCONNECT (PTY) LTD,3 Santa Barbara,Lonehill Gauteng 2062,JHB,'2021
TA10019283,MATRIX MARKETING (PTY) LTD,MATRIX MARKETING (PTY) LTD,KREDITHOUSE BUILDING,15 PHILIPS STREET  FERNDALE   RANDBURG,JHB,'2125
TA10019287,NETVISION NETWORK SOLUTIONS CC,NETVISION NETWORK SOLUTIONS CC,THE FOURWAYS BUSINESS CENTRE,LESLIE AVE EAST DESIGN QUARTER,FOURWAYS,'2074
TA10019291,NATIONAL DATA SERVICES,NATIONAL DATA SERVICES,2ND FLOOR HICC SHERATON,HARARE,ZIMBABWE,'2000
TA10019298,PREAN COMPUTERS (PVT) LTD,PREAN COMPUTERS (PVT) LTD,SHOP 3  KOPJE PLAZA BUILDING,1 JASON MOYO AVENUE,HARARE  ZIMBABWE,'2000
TA10019299,LEXUS COMPUTER SALES & SERVICE CC,LEXUS COMPUTER SALES & SERVICE CC,6 MARULA PLACE,BEDFORDVIEW,JHB,'2008
TA10019310,NEW HEIGHTS 519 (PTY) LTD T/A SHAW GROUP HARDWARE,NEW HEIGHTS 519 (PTY) LTD T/A SHAW GROUP HARDWARE,69 MURRAY STREET,KROONSTAD,FREE STATE,'9500
TA10019317,MPANDE TECHNOLOGIES CC,MPANDE TECHNOLOGIES CC,122 HOWARD AVENUE,BENONI,GAUTENG,'0
TA10019322,HIFI ATTERBURY COMPUTERS,HI-FI CORPORATION ATTERBURY ,ATTERBURY VALUE MART,FAERIE GLEN EXT 15  ATTERBURY,ATTERBURY,'2000
TA10019323,HIFI CENTURION,HI-FI CORPORATION CENTURION,SHOP 142A  HEUWEL AVENUE,CENTURION MALL,CENTURION,'2000
TA10019330,EXCUBED CONSULTING (PTY) LTD,EXCUBED CONSULTING (PTY) LTD,60 SIXTH AVENUE,C/O GOLDMAN STREET ,FLORIDA,'1710
TA10019331,EUROBYTE TECHNOLOGY (PTY) LTD,EUROBYTE TECHNOLOGY (PTY) LTD,UNIT 7  CAMBRIDGE COMMERCIAL PARK,22 WITKOPPEN ROAD  PAULSHOF,JHB,'2160
TA10019343,ENR BUSINESS ENTERPRISE CC, ENR BUSINESS ENTERPRISE CC,4 AKASIA STREET,GOLF VIEW  ,MAFIKENG  NORTH WEST,'2735
TA10019352,WE R IT CC,WE R IT CC,SUITE 204 2ND FLR HIGHLANDS MEDICAL CENTRE,CNR LOUIS BOTHA & THIRD AVENUE,HIGHLANDS NORTH JOHANNESBURG,'2041
TA10019353,BYTES SYSTEMS INTEGRATION-A DIVISION OF BYTES TECHNOLOGY GRO,BYTES SYSTEMS INTEGRATION-A DIVISION OF BYTES TECHNOLOGY GROUP SOUTH AFRICA (PTY,BLOCK D  241 THIRD ROAD,HALFWAY GARDENS  MIDRAND,JHB,'2146
TA10019357,WINGS 'N THINGS CC,WINGS 'N THINGS CC,GROUND FLOOR  MAIN TERMINAL BUILDING,LANSERIA AIRPORT,LANSERIA  JHB,'1748
TA10019361,SOCHIN TECHNOLOGIES CC,SOCHIN TECHNOLOGIES CC,1ST FLOORUNIT8ARGYLE SQUARE OFFICE3 PARK,CNR JOHN VORSTER RD AND JG STRYDOM RD,WELTEVREDENPARK,'2198
TA10019365,COMPU MIG CC,COMPU MIG CC,28 CHOPIN STREET,VANDERBIJLPARK,JHB,'1900
TA10019367,PRO-IC BUSINESS ENTERPRISES CC,PRO-IC BUSINESS ENTERPRISES CC,32 STEVENSON STREET,WITBANK  EXT 8,MPUMALANGA,'1040
TA10019370,HIFI AEROTON,HI-FI CORPORATION AEROTON,NO 6 SABAX STREET,AEROTON ,AEROTON,'2000
TA10019371,UNALLOCATED DEPS,TECHNOLOGY PARK ,C/O MAREE AND ANN ARBOR ROAD,BRAMLEY PARK,SANDTON,'2000
TA10019380,VUKANI & THANDO INVESTMENTS (PTY) LTD,VUKANI & THANDO INVESTMENTS (PTY) LTD,OFFICE NUMBER 3,LM BUILDINGSOMHLOLO ROAD,MBABANE  SWAZILAND,'2000
TA10019383,REFLEX SOLUTIONS (PTY) LTD,REFLEX SOLUTIONS (PTY) LTD,220 JAN SMUTS AVENUE,DUNKELD WEST,JHB,'2196
TA10019388,EASYBIZ (PTY) LTD,EASYBIZ (PTY) LTD,2 VENUS ROAD,CNR GLENHOVE ROAD,MELROSE ESTATE - JOHANNESBURG,'2144
TA10019389,GET UNPLUGGED DEVELOPMENTS CC T/A PC ADMIN,GET UNPLUGGED DEVELOPMENTS CC T/A PC ADMIN,820 WITWATERSRAND AVENUE,STRUBENS VALLEY,ROODEPOORT - GAUTENG,'1725
TA10019390,ANTALIS GRAPHICS,ANTALIS GRAPHICS,NO 2 JOHN STREET,CORNER BOOYSENS ROAD,SELBY JOHANNESBURG 2001,'2000
TA10019391,ETHUBA CLEARING SERVICES 11 CC,ETHUBA CLEARING SERVICES 11 CC,IMBALI CENTER NO 2,C/O WEST STREET & COWEN NTULI,MIDDELBURG  MPUMALANGA,'1050
TA10019394,ECONOCOM 424 CC,ECONOCOM 424 CC ,66 NORWOOD PLACE - 2ND FLOOR,CNR GRANT & NELLIE ,NORWOOD,'2037
TA10019405,FSL CONSULTING CC,FSL CONSULTING CC,2 THRING STREET,WILGENHOF  KROONSTAD,FREE STATE,'2000
TA10019412,MICROWAREHOUSE (PVT) LTD,MICROWAREHOUSE (PVT) LTD,12 POLLET AVENUE,BELVEDERE  HARARE,ZIMBABWE,'2000
TA10019419,0ZERO1 SOLUTIONS T/A 0ZERO1 SOLUTIONS CC,0ZERO1 SOLUTIONS T/A 0ZERO1 SOLUTIONS CC,4 ADRIAN ROAD,BIRCHLEIGH,JHB,'1618
TA10019422,EXIT COMPUTER SYSTEMS (PVT) LTD,EXIT COMPUTER SYSTEMS (PVT) LTD,171A BROWNING DRIVE,3D CENTRE STRATHAVEN  AVONDALE,HARARE  ZIMBABWE,'2000
TA10019435,OPEN EDGE TECHNOLOGIES  (PTY) LTD,OPEN EDGE TECHNOLOGIES  (PTY) LTD,385 MICHELLE CRESENT,WATERKLOOF BOULEVARD,PRETORIA 0181,'0163
TA10019436,COPIERS BOTSWANA (PTY) LTD,COPIERS BOTSWANA (PTY) LTD,Plot 22050/51 Kgomokasitwa Road,G - West Industrial Gaborone,BOTSWANA,'2000
TA10019443,KOPANO SOLUTIONS COMPANY (PTY) LTD T/A NASHUA KOPANO,KOPANO SOLUTIONS COMPANY (PTY) LTD T/A NASHUA KOPANO,54 MAXWELL DRIVE ,WOODMEAD,JHB,'1685
TA10019446,DRIVERISK (PTY) LTD,DRIVERISK (PTY) LTD,CNR SAREL CILLIERS STREET & PRETORIA RD,RYNFIELD,BENONI,'1504
TA10019448,PHASE TWO COMPUTERS (PTY) LTD T/A PHASE 2 DIRECT,PHASE TWO COMPUTERS (PTY) LTD T/A PHASE 2 DIRECT,15 DARTFIELD ROAD,EASTGATE EXT  SANDTON,JHB,'2010
TA10019453,FARAD (PTY) LTD,FARAD (PTY) LTD,7 CLAMART ROAD,RICHMOND,JHB,'2017
TA10019455,SYNLAK (PVT) LTD,SYNLAK (PVT) LTD,MOZZAINE FLOOR  ,ANLABY HOUSE  HARARE,ZIMBABWE,'2000
TA10019464,REEF BUSINESS SYSTEMS (PTY) LTD,REEF BUSINESS SYSTEMS (PTY) LTD,RBS HOUSE 10 SUNI AVE,SAGE CORPORATE PARK SOUTH,OLD PRETORIA MAIN ROAD MIDRAND,'1685
TA10019467,NO BARRIER COMMUNICATIONS CC,NO BARRIER COMMUNICATIONS CC,145  8TH STREET,PARKMORE  SANDTON,JHB,'2021
TA10019469,RED CHERRY COMPUTER RENTALS (PTY) LTD,RED CHERRY COMPUTER RENTALS (PTY) LTD,150 CORLETT DRIVE,BRAMLEY,JHB,'2123
TA10019478,MUKOMA TECHNOLOGY CC,MUKOMA TECHNOLOGY CC,SABLE CENTRE  6TH FLOOR,41 DE KORTE STREET  BRAAMFONTEIN,JHB,'1474
TA10019482,HOME DIGI MEDIA (PTY) LTD,HOME DIGI MEDIA (PTY) LTD,130 4TH STREET,PARKMORE,SANDTON,'2128
TA10019489,4-WAYS STATIONERS CC ,4-WAYS STATIONERS CC ,MEADOWBROOK BUSINESS ESTATES,UNIT 7 - JACARANDA AVE ,OLIVEDALE X17,'2055
TA10019496,GARY JANKS ATTORNEY,GARY JANKS ATTORNEY,13 PURDEY STREET,WOODMEAD EXT 9,SANDTON,'2000
TA10019502,ANEVEY IT SOLUTIONS CC,ANEVEY IT SOLUTIONS CC,5 LOCKIES LANE,FLORIDA,JHB,'1710
TA10019516,OFFICE NATIONAL AFRICA (PTY) LTD,OFFICE NATIONAL AFRICA (PTY) LTD,CNR RIDGE ROAD AND VLAGSKIP STREET,LASER PARK HONEYDEW ,ROODEPOORT ,'2162
TA10019517,CANCO BUSINESS SYSTEMS (PTY) LTD,CANCO BUSINESS SYSTEMS (PTY) LTD,320 RIVONIA BOULEVARD,EDENBURG,SANDTON,'2106
TA10019519,3 D EXPRESS COMPUTERS,DNG CARRIERS CC ,UNIT 20 VALLEY VIEW,4B GIBSON DRIVE WEST BUCCLEUCH,JOHANNESBURG,'2066
TA10019520,DATASERV LDA,DATASERV LDA,24 DE JULHO,MAPUTO,MOZAMBIQUE,'2000
TA10019521,CALIDAD TECHNOLOGY CC,CALIDAD TECHNOLOGY CC,3 PROTEA AVENUE ,WELTEVREDENPARK,JHB,'1709
TA10019531,NETPLUS CC,NETPLUS CC,3 STEVEN ROAD,MEADOWBROOK  GERMISTON,JHB,'1610
TA10019538,ELECTRILABS (PTY) LTD,ELECTRILABS (PTY) LTD,UNIT 1 PROBUILD COMMERCIAL PARK,347 JAMES CRESCENT,MIDRAND,'1685
TA10019539,CENTURY OFFICE SUPPLIES (PTY) LTD,CENTURY OFFICE SUPPLIES (PTY) LTD,PLOT 5679  KUBU ROAD,BROADHURST INDUSTRIAL AREA,GABORONE  BOTSWANA,'2000
TA10019540,COPYWRITE BUSINESS CENTRE CC,COPYWRITE OFFICE NATIONAL,277 MAIN ROAD,CRAMERVIEW VILLAGE CENTRE,BRYANSTON  JHB,'2060
TA10019541,NAPH TECHNOLOGIES CC,NAPH TECHNOLOGIES CC,UNIT 1,2365 ROBERT SOBUKWE STREET  MMABATHO,NORTH WEST,'2735
TA10019554,MICROWAREHOUSE (PVT) LTD,MICROWAREHOUSE (PVT) LTD,12 POLLET AVENUE,BELVEDERE  HARARE,ZIMBABWE,'2000
TA10019556,SHREEJI INVESTMENTS T/A COMPUTER CONNEC,SHREEJI INVESTMENTS  T/A COMPUTER CONNECTION,SHREEJI HOUSEPLOT 1209,ADDIS ADABA DRIVE,LUSAKA                      ZAMBIA,'2000
TA10019560,ALLIED MOBILE COMMUNICATIONS (PTY) LTD,ALLIED MOBILE COMMUNICATIONS (PTY) LTD,DORANTIS OFFICE PARK,8 KUDU STREET  ROBIN HILLS,JHB,'2155
TA10019564,TECHWEB INVESTMENTS LTD,TECHWEB INVESTMENTS LTD,SUITE 006-007  COMPENSATION HOUSE,CNR BROADWAY/MOFFART ROAD,NDOLA  ZAMBIA,'2000
TA10019569,HIFI WITBANK COMPUTERS,HI-FI CORPORATION WITBANK,SHOP 14 RIVER CRESCENT,PRESIDENT AVENUE,WITBANK,'2000
TA10019570,MANGAUNG ICT,MANGAUNG ICT,49 DE BRUYN STREET,UNIVERSITAS,BLOEMFONTEIN,'9302
TA10019575,GRATZ GLOBAL CC,GRATZ GLOBAL CC,16 BUNTING STREET,BENONI,GAUTENG,'1506
TA10019578,TMB SOLUTIONS CC,TMB SOLUTIONS CC,3 KLIPSPRINGER STREET,REYNO RIDGE X4,MPUMALANGA,'1035
TA10019580,AMAGCISA HOLDINGS (PTY) LTD,AMAGCISA HOLDINGS (PTY) LTD,349 EQUESTRIAN ROAD,RUIMSIG,GAUTENG,'1732
TA10019586,XTREME BUSINESS SYNERGY CC,XTREME BUSINESS SYNERGY CC,132 MONUMENT ROAD,ASTON MANOR,KEMPTON PARK,'2000
TA10019596,GR PYM CC ,GR PYM CC ,SHOP NO 1 SAMANCOR HOUSE,88 MARSHALL STREET,JHB,'2000
TA10019597,DG STORE,DG STORE - STANDARD BANK,11 FREDRICK STREET,MARSHALLTOWN,JOHANNESBURG 2001,'7405
TA10019604,FUSION COMPUTER INFRASTRUCTURE,FUSION COMPUTER INFRASTRUCTURE,4 BATAVIA RD,QUELLERIE PARK,KRUGERSDORP,'1716
TA10019605,TRIANA LDA IMPORT EXPORT,TRIANA LDA IMPORT EXPORT,AV. HO CHIMIN 1911,MAPUTO - MOZAMBIQUE,,'2000
TA10019607,CUISINE SOFTWARE CC,CUISINE SOFTWARE CC,23 IMPALA AVENUE,THERESAPARK 0182,GAUTENG,'0118
TA10019609,SOROBAN IT SOLUTIONS CC,SOROBAN IT SOLUTIONS CC,3 BOEKENHOUT,RIVERCLUB,JHB,'2149
TA10019610,WAKAMO ENTERPRISES,WAKAMO ENTERPRISES,ROOM 7 CORDRINGTON HOUSE,NKWAZI ROAD,CENTRAL PROVINCE,'2000
TA10019612,SUNSHINE DUNES TRADING 22 CC,SUNSHINE DUNES TRADING 22 CC,36 ROYAL KYALAMI,ROBIN ROAD,VORNA VALLEY,'2018
TA10019613,CYBERNETIX IT,CYBERNETIX IT,102 STELLA STREET,VRYBURG 8600,NORTH WEST,'8600
TA10019615,IT AT OFFICE CC,IT AT OFFICE CC,@ OFFICE BUILDING,67 BRINK STREET,RUSTENBURG,'0300
TA10019622,DAYTONA ELECTRONICS CC,DAYTONA ELECTRONICS CC,19 AGAAT STREET ,BARDENE,BOKSBURG,'1470
TA10019623,MODIKO TECHNOLOGIES CC,MODIKO TECHNOLOGIES CC,UNIT 19 213 RICHARD STREET,HATFIELD BRIDGE OFFICE PARK,313,'0028
TA10019639,CASH SALE - TBAY,RNEW PECAN FARM & WELLNESS CENTRE (PTY) LTD,UNIT 21 SANDTON VIEW OFFICE PARK,CONDUI STR LYME PARK RANDBURG,VAT NO 4170 246 872,'2146
TA10019645,ALLADIN IT SOLUTIONS CC,ALLADIN IT SOLUTIONS CC,102 4TH AVENUE,MAYFAIR,JOHANNESBURG,'2092
TA10019646,AOLC ON LINE (PTY) LTD,AOLC ON LINE (PTY) LTD,NO 25 ELIZABETH ROAD,BARDENE EXTENSION 2,BOKSBURG,'1461
TA10019665,BIS BUSINESS PRESENTATION PRODUCTS,BIS BUSINESS PRESENTATION PRODUCTS,SUITE 104 MIDRAND ESTATES PARK,MOUNTAIN QURAY STREET,OLIFANTSFONTEIN,'1685
TA10019668,DF VD MERWE T/A SHOP 63,DF VD MERWE T/A SHOP 63,12 PARK STREET,HENNENMAN,9445,'9445
TA10019683,IT 4 AFRICA BOTSWANA,IT 4 AFRICA BOTSWANA,Plot No 14400,Gaborone West Industrial Gaborone,BOTSWANA,'2000
TA10019685,GENIPRINT (PTY) LTD,GENIPRINT (PTY) LTD,49 MONTE CARLO CRESENT,KYALAMI BUSINESS PARK,KYALAMI,'1684
TA10019686,APPLOGIX (PTY) LTD,APPLOGIX (PTY) LTD,9 PACKARD STREET,WOODMEAD,JOHANNESBURG,'0169
TA10019690,SOLID WEDGE SERVICES CC,SOLID WEDGE SERVICES CC,UNIT 9 ALPHEN SQAURE SOUTH,CNR SIXTEENTH / GEORGE STR,313,'1868
TA10019691,FROLGATE TECHNOLOGY,FROLGATE TECHNOLOGY,2 CALARR CLOSE,AVONDALE,HARARE,'2000
TA10019693,CYANRE THE COMPUTER FORENSIC LAB (PTY) LTD,CYANRE THE COMPUTER FORENSIC LAB (PTY) LTD,UNIT 5 NORMA JEAN SQUARE OFFICE PARK,244 JEAN AVENUE CENTURION,GAUTENG,'0046
TA10019698,DAVID ELLIOTT T/A PRO IT SERVICES,DAVID ELLIOTT T/A PRO IT SERVICES,8 MOSTERT AVE,MALANSHORT,RENDBURG,'2115
TA10019703,INCREDIBLE CONNECTION NORTHGATE COMMERCIAL ACCOUNT,INCREDIBLE CONNECTION NORTHGATE COMMERCIAL ACCOUNT,SHOP 65A 66 & 67 NORTHGATE SHOPPING CENTRE,CNR OLIEVENHOUT & NORTH UMBERLAND,NORTHRIDING,'2128
TA10019707,MEGABYTE LTD,MEGABYTE LTD,NEW CAUDAN ROAD,CAUDAN,PORT LOUIS MAURITIUS,'MAURITIUS
TA10019708,SHIKARA INVESTMENTS CC,SHIKARA INVESTMENTS CC T/A SHIKARA CONSU,128 LOBELIA ROAD,SAVANNA HILLS ESTATE,SAGEWOOD EXT 1 MIDRAND,'1685
TA10019709,LEXEDIT CC,LEXEDIT CC,34 GEORGEROSS STREET,WITPOORTJIE,ROODEPOORT,'1729
TA10019712,IT CENTRE LTD,IT CENTRE LTD,CORNER SHARPE & GLYN JONES ROAD,BLANTYRE SOUTHERN REGION,MALAWI,'2000
TA10019728,SOKONE TECHNOLOGIES (PTY) LTD,SOKONE TECHNOLOGIES (PTY) LTD,43 BIRCHWOOD COURT MONTROSE STREET,VORNA VALLEY,JOHANNESBURG,'2010
TA10019732,NEDBANK LIMITED,NEDBANK LIMITED,105 WEST STREET,SANDTON,SANDTON,'2146
TA10019735,CONSULT IT (PTY) LTD,CONSULT IT (PTY) LTD,PLOT 183 UNIT 4 & 5,GABORONE INTERNATIONAL PARK,GABORONE  BOTSWANA,'2000
TA10019741,MABUTEC CC,MABUTEC CC,50 GERANIUM ROAD ,BIRCH ACRES ,,'2000
TA10019748,BRITHOL MICHOMA (MOC) LDA,BRITHOL MICHOMA (MOC) LDA,AV. MAO TSE TUNG 346,MAPUTO,MOZAMBIQUE,'2000
