Account,Acc Name,Del Name,Delivery Add1,Delivery Add2,Delivery Add3,Postal Code
TA1015019,SOLUTION TECHNOLOGIES (PTY) LTD,SOLUTION TECHNOLOGIES (PTY) LTD,CNR SURREY & REPUBLIC RD,RANDBURG,RANDBURG,'2160
TA1015021,THINFUSE TECHNOLOGIES (PTY) LTD,THINFUSE TECHNOLOGIES (PTY) LTD,PINEWOOD OFFICE PARK,PINEWOOD SQUARE  UNIT F13,33 RILEY ROAD WOODMEAD JHB,'2080
TA1015024,PROGRESSIVE DISTRIBUTING ENTERPRISES,PROGRESSIVE DISTRIBUTING ENTERPRISES,18 HETTIE STREET,CYRILDENE,JOHANNESBURG,'2026
TA1015030,COMPUTER PRO CC,COMPUTER PRO CC,777 PIERNEEF STREET,VILLIERIA,VILLIERIA,'0007
TA1015035,ECONOMIC SUPPLY STORES (PTY) LTD,ECONOMIC SUPPLY STORES (PTY) LTD,62 BIGGAR STREET,GLENCOE,GLENCOE,'2930
TA1015040,I T CONTACT CC,I T CONTACT CC,635 SPES BONA RYLAAN,MORELETTA PARK,PRETORIA,'0105
TA1015042,LEISHAN IT CONSULTANCY CC,LEISHAN IT CONSULTANCY CC,GROUND FLOOR BLOCK D,CROWNWOOD OFFICE PARK  100 NORTHERN PARKWAY,ORMONDE,'1820
TA1015048,BYRNE HOLDINGS (PTY) LTD T/A DIGITAL HORIZON,BYRNE HOLDINGS (PTY) LTD T/A DIGITAL HORIZON,29 SOUTHY ROAD,FARRARMERE BENONI,1501,'1501
TA1015049,PETREL COMPUTER CONSULTANTS CC,PETREL COMPUTER CONSULTANTS CC,SABLE PLACE OFFICE 8A FAIRWAY O/P,52 GROSVENOR ROAD,SANDTON 2191,'2021
TA1015054,DIMENSION DATA (PTY) LTD,DDNS GAUTENG ES NAT LOG,THE CAMPUS ,57 SLOANE STREET,FLUSHING MEADOWS  BRYANSTON,'2123
TA1015063,L G INFORMATION SYSTEMS CC,L G INFORMATION SYSTEMS CC,WARD ROAD,RANDFONTEIN,RANDFONTEIN,'1740
TA1015065,PHANDA TECHNOLOGY,PHANDA TECHNOLOGY,101 BARCLAY SQUARE,296 WALKER STREET,SUNNYSIDE,'0126
TA1015067,COMPUWAYS CC,COMPUWAYS CC,G19 PINEWOOD SQUARE - PINEWOOD OFFICE PARK,33 RILEY ROAD,WOODMEAD EXT12,'1685
TA1015076,P C WIZARD TECHNOLOGIES CC,P C WIZARD TECHNOLOGIES CC,2ND FLOOR POLIFIN HOUSE,174 BRAM FISHER,FERNDALE - RANDBURG,'2037
TA1015099,BITMAP SOLUTIONS CC,BITMAP SOLUTIONS CC,BERKLEY OFFICE PARK BLDG NO 11 GROUND FLOOR,NO 8 BAUHINIA STREET HIGHVELD PARK,PRETORIA,'0083
TA1015103,THINK COMPUTER HARDWARE CC,THINK COMPUTER HARDWARE CC,481 JAN SMUTS AVENUE,BLAIRGOWRIE,RANDBURG,'2121
TA1015108,A S A P COMPUTER SERVICES CC,A S A P COMPUTER SERVICES CC,218 ONTDEKKERS ROAD,HORIZON,HORIZON,'1731
TA1015109,COMPUTER HAVEN CC,COMPUTER HAVEN CC,1002 CNR HERTZOG AND 28 AVE,VILLIERIA,VILLIERIA,'0134
TA1015116,CORNASTONE ENTERPRISE SYSTEMS (PTY)LTD,CORNASTONE ENTERPRISE SYSTEMS (PTY)LTD,MELLIS COURT ,CNR MELLIS & AUTUMN RDS,RIVONIA,'2128
TA1015125,GREAT SYSTEMS TECHNOLOGIES CC,GREAT SYSTEMS TECHNOLOGIES CC,303 LEDGER AVENUE,DANVILLE,DANVILLE,'0001
TA1015129,ANDTECH CC,ANDTECH CC,UNIT S4 THE DOZEN,36 VENTURI ROAD,HENNOPSPARK,'0149
TA1015133,D J R PROFESSIONAL SERVICES,D J R PROFESSIONAL SERVICES,75 KILLENNY RD,PARKVIEW,JHB,'2193
TA1015137,LETSEMA OFFICE AUTOMATION (PTY) LTD,LETSEMA OFFICE AUTOMATION (PTY) LTD,1ST FLOOR  LETSEMA HOUSE,30 ELOFF STREET,JOHANNESBURG ,'2000
TA1015138,QMEDIA DISTRIBUTORS CC,QMEDIA DISTRIBUTORS CC,CORPORATE PARK  PRODESIGN BUILDING,25 REEDBUCK CRESCENT  OLD JHB ROAD,MIDRAND  JHB,'1685
TA1015140,HOLLER TRADE CC,HOLLER TRADE CC,NO 28 KAREE RD,BLUEHILLS,KYALAMI,'2146
TA1015152,NOVUS SYSTEM INTEGRATORS (PTY) LTD,NOVUS SYSTEM INTEGRATORS (PTY) LTD,471 MONICA STREET,LYNNWOOD,JHB,'0102
TA1015153,LLANDT EXPORTS CC,LLANDT EXPORTS CC,UNIT 9 MIDWAY PARK,RICHARDS DRIVE,MIDRAND,'1685
TA1015156,CONEKT BUSINESS GROUP (PTY) LTD,CONEKT BUSINESS GROUP (PTY) LTD,C S S HOUSE AUGRABIES ROAD,WATERFALL OFFICE PARK MIDRAND,JHB,'2128
TA1015170,HP DIVISION RETURNS,HP DIVISION RETURNS,TARSUS TECHNOLOGY PARK,C/O MAREE & ANN ARBOR BRAMLEY PARK,SANDTON,'0000
TA1015171,MORELETA WOONSTELLE (PTY) LTD T/A NATURAL INTELLIGENT SYSTEM,MORELETA WOONSTELLE (PTY) LTD T/A NATURAL INTELLIGENT SYSTEM,1 PALESA CLOSE,BEDFORDVIEW,GERMISTON GAUTEN,'1416
TA1015178,EXECUTIVE SOLUTIONS (PTY) LTD,EXECUTIVE SOLUTIONS (PTY) LTD,B5 THE STABLES ,13-3RD ROAD,LINBRO PARK 2064,'2157
TA1015185,I T S M SYSTEMS CC,I T S M SYSTEMS CC,31 DE KLERK DRIVE,DEKLERKSHOF  EDENVALE,JHB,'1685
TA1015195,NET CAD (PTY) LTD,NET CAD (PTY) LTD,CRESTA JUNCTION BLOCK A 1ST FLR OFFICE 104,CNR BEYERS NAUDE AND JUDGES BLACKHEATH,RANDBURG,'1731
TA1015205,IKANDO (PTY) LTD  T/A IT MASTER,IKANDO (PTY) LTD  T/A IT MASTER,114 OLIEVENHOUTBOSCH AVENUE X4,KOSMOSDAL 0157,CENTURION,'0787
