ACC#,CUSTOMER NAME,SEQ
BLA055,Blanford Manor,8,RANDBURG FINAL ROUTE,-26.0433968654137,27.9639092087746
NYA021,Nyami Nyami Northriding,9,RANDBURG FINAL ROUTE,-26.0460308152415,27.9696437716484
EUR113,Europasia,10,RANDBURG FINAL ROUTE,-26.0362658662573,27.9836449027061
MET011,Methodist Home for the Aged Summerfield Park,11,RANDBURG FINAL ROUTE,-26.0386300610371,27.9776528477669
CGA169,Netcare Olivedale Hospital N0214,12,RANDBURG FINAL ROUTE,-26.0543973703359,27.9728221893311
REE141, Olivedale Retirement Village - Reef Caterers,13,RANDBURG FINAL ROUTE,-26.0638764952633,27.9707407951355
DOP010,Bel Air Shopping Centre,14,RANDBURG FINAL ROUTE,-26.0607200848401,27.9559779167175
KAU111,Northgate Shopping Centre,15,RANDBURG FINAL ROUTE,-26.0627006820833,27.9425883293152
MUG276,Total Golden Harvest,16,RANDBURG FINAL ROUTE,-26.068709734484,27.9669427871704
REE066, Ann Harding Cheshire Home,17,RANDBURG FINAL ROUTE,-26.0730657433075,27.9572921991348
VIL008,Village of Golden Harvest Two,18,RANDBURG FINAL ROUTE,-26.0766554739162,27.9631876945496
VIL140,Village of Golden Harvest - MORLAM,19,RANDBURG FINAL ROUTE,-26.0764892404996,27.9595372080803
REE007,Crescent Clinic,20,RANDBURG FINAL ROUTE,-26.0877708945562,27.9598993062973
RHE003,Rhema Bible Church,21,RANDBURG FINAL ROUTE,-26.0918804901726,27.960559129715
FLO050,Flower Foundation Retirement Village,22,RANDBURG FINAL ROUTE,-26.0933209824889,27.9676508903503
ROA006,Road Lodge- Randburg,23,RANDBURG FINAL ROUTE,-26.0983336611361,27.9857477545738
PAS031,Pasta Cafe,24,RANDBURG FINAL ROUTE,-26.0935329597943,27.9847687482834
KIN177,Mintek,25,RANDBURG FINAL ROUTE,-26.0883731303723,27.9793131351471
DIS055,Disar International,26,RANDBURG FINAL ROUTE,-26.2781104802866,28.015144765377
