ACC#,CUSTOMER NAME ,SEQ
VIL074,VILLA ROSA - KOMATI,1
FED4281,FEDSERV ESKOM KOMATI POWER STATION                               ,2
VID116,VIDA WEST CFE MIDDLEBURG,3
RIN014,FEGO WEST RINSA,4
ROY464,ROYAL MNANDI COLUMBUS STELLENBURG HOSTEL ,5
FED4280,FEDSERV CLUMBUS STAINLESS STEEL ,6
JOR005,JORMID ELECTRICAL,7
MAG105,MAGNIFICENT TREATS                                               ,8
MID066,MIDDLEBURG COLD STORAGE,9
RIV024,RIVERSIDE ESTATE,10
MER088,MERINO VLEISMARK                                                 ,11
SAS047,SASOL - MIDDELBURG                                               ,12
OKG016,OK MEYER STR ,13
SAN401,SANDWICHBARON MIDDELBURG                                         ,14
ORE005,OREGON PLACE,15
LAR042,LA RIEKIE CATERING                                               ,16
MID002,MIDDLEBURG PRIVATE HOSPITAL,17
WIE146,WIESENHOF,18
FRA047,FRANKS MEAT ,19
THY017,THYME OUT COFFEE LOUNGE,20
PER025,PERSONNEL MANAGEMENT SERVICES,21
SAV006,S.A.V.F MIDDLEBURG TEHUIS,22
CAB015,CABBAGE AND ROSE COUNTRY VENUE                                   ,23
FED4331,FEDSERV MIDDLEBURG FERROCHROME,24Id,Location Name,Sequence,Route Name,Latitude,Longtitude
VIL074,Villa Rosa - Komati,1,MIDDLEBURG 1 FINAL ROUTE,-26.095469643753,29.4586801528931
FED4281,Fedserve Eskom Komati Power Station,2,MIDDLEBURG 1 FINAL ROUTE,-26.091283090163,29.4669628143311
RIN014,Shell Ultra - N4 (West),3,MIDDLEBURG 1 FINAL ROUTE,-25.8565926631436,29.3800538778305
ROY464,Stellenburg Hostel (?),4,MIDDLEBURG 1 FINAL ROUTE,-25.7859856870878,29.4748324155808
FED4280,Columbus Stainless Steel,5,MIDDLEBURG 1 FINAL ROUTE,-25.791622463246,29.4897079467773
JOR005,Jormid Electrical,6,MIDDLEBURG 1 FINAL ROUTE,-25.7872173962721,29.4958394765854
MAG105,Magnificent Treats,7,MIDDLEBURG 1 FINAL ROUTE,-25.784041492638,29.4959199428558
MID066,Middelburg Cold Storage,8,MIDDLEBURG 1 FINAL ROUTE,-25.7772474299804,29.493060708046
RIV024,Riverside Estate,9,MIDDLEBURG 1 FINAL ROUTE,-25.7606869331006,29.5127642154694
MER088,Merino Vleismark,10,MIDDLEBURG 1 FINAL ROUTE,-25.7786338078168,29.4609600305557
SAS047,Sasol Middelburg,11,MIDDLEBURG 1 FINAL ROUTE,-25.7694215788206,29.472708106041
OKG016,OK Grocer Meyer Street,12,MIDDLEBURG 1 FINAL ROUTE,-25.7656485612636,29.4722735881805
RAI007,Falcon Crest Centre,13,MIDDLEBURG 1 FINAL ROUTE,-25.7684843743878,29.462274312973
ORE005,Oregon Place Guest House,14,MIDDLEBURG 1 FINAL ROUTE,-25.7651461273418,29.4599595665932
LAR042,La Riekie Catrering,15,MIDDLEBURG 1 FINAL ROUTE,-25.7657113653543,29.4591361284256
MID002,Life Midmed Hospital,16,MIDDLEBURG 1 FINAL ROUTE,-25.7629286291481,29.4584012031555
FRA047,Green Acres Building,17,MIDDLEBURG 1 FINAL ROUTE,-25.7625566264832,29.4531065225601
PER025,Personnel Management Services,18,MIDDLEBURG 1 FINAL ROUTE,-25.755316836066,29.4581034779549
SAV006,S.A.V.F. Middelburg Te Huis,19,MIDDLEBURG 1 FINAL ROUTE,-25.7539277700861,29.4583743810654
CAB015,CABBAGE AND ROSE COUNTRY VENUE???,20,MIDDLEBURG 1 FINAL ROUTE,-25.7326718270013,29.5094275474548
FED4331, Fedserv Middelburg Ferrochrome,21,MIDDLEBURG 1 FINAL ROUTE,-25.8013400804372,29.4918537139893
