ACC#,CUSTOMER NAME ,SEQ,ROUND 
BLU177,BLUE LAGOON                                                      ,9,WITBANK 3
GOG002,GO GO BURGERS TAKE AWAY                                          ,10,WITBANK 3
MEA033,MEAT DISCOUNTERS                                                 ,11,WITBANK 3
HUN030,HUNTSMAN                                                         ,12,WITBANK 3
CAM067,CAMBRIGE TUCK SHOP                                               ,13,WITBANK 3
JAV008,JAVA JUNCTION                                                    ,14,WITBANK 3
BLU190,THE BLUE ROOM                                                    ,15,WITBANK 3
PRO128,PROTEA HOTEL HIGHVELD                                            ,16,WITBANK 3
RAK002,RAKU LOUNGE                                                      ,17,WITBANK 3
EQU014,FEDICS - REEF - CROSS ATLANTIC                                   ,18,WITBANK 3
REE032,FEDICS - REEF - RAND CARBIDE                                     ,19,WITBANK 3
GEN010,GENERAAL HERTZOGS KOSHUIS                                        ,20,WITBANK 3
PRO168,PROTEA HOTEL WITBANK                                             ,21,WITBANK 3
POP001,POPEYS                                                           ,22,WITBANK 3
